pharmacy_id,district_id,name,street,housenumber,postal_code,district,neighborhood,phone_number,website,services_offered,openinghours,wheelchair_accessible,latitude,longitude,coordinates
616284712,11011011,apotheke am rathaus,möllendorffstraße,111,10367,Lichtenberg,Lichtenberg,,nan,dispensing_yes,"mo-fr 08:00-19:00, sa 09:00-14:00; ph off",limited,52.5161624,13.4787925,POINT(13.4787925 52.5161624)
621584928,11008008,gerhart-hauptmann-apotheke,fritz-reuter-allee,181,12359,Neukölln,Britz,+49306019551,nan,dispensing_yes,mo-fr 08:30-19:00; sa 08:30-13:00,yes,52.4373715,13.4477689,POINT(13.4477689 52.4373715)
627415668,11001001,gesundbrunnen- apotheke,badstraße,64,13357,Mitte,Gesundbrunnen,,nan,dispensing_yes,mo-fr 08:30-18:30; sa 09:00-13:00,yes,52.55057,13.3842488,POINT(13.3842488 52.55057)
630214264,11011011,apotheke an der rhinstraße,nan,nan,nan,Lichtenberg,Friedrichsfelde,,nan,dispensing_yes,mo-sa 08:30-19:30,yes,52.5136166,13.5179566,POINT(13.5179566 52.5136166)
630214267,11011011,bahnhof-apotheke,nan,nan,nan,Lichtenberg,Friedrichsfelde,,nan,dispensing_yes,mo-fr 08:00-19:00; sa 08:00-14:00,yes,52.5137587,13.5198414,POINT(13.5198414 52.5137587)
631755396,11012012,elch-apotheke,ludolfingerplatz,2,13465,Reinickendorf,Frohnau,+493040632891,https://www.elch-apotheke-frohnau.de/,dispensing_yes,mo-fr 08:30-19:00; sa 08:30-14:00,yes,52.6331147,13.2887685,POINT(13.2887685 52.6331147)
635821864,11006006,pantherapotheke,scheelestraße,140,12209,Steglitz-Zehlendorf,Lichterfelde,,nan,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:30,yes,52.412393,13.3208889,POINT(13.3208889 52.412393)
636005023,11004004,rathaus-apotheke schmargendorf,berkaer straße,6,14199,Charlottenburg-Wilmersdorf,Schmargendorf,+49308261586,nan,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-14:00,yes,52.4767049,13.288994,POINT(13.288994 52.4767049)
638953355,11011011,weitling-apotheke,weitlingstraße,58,10317,Lichtenberg,Rummelsburg,+493052279730,https://www.weitling-apotheke.de/,dispensing_yes,mo-fr 08:00-19:00; sa 08:00-13:00; su 08:00-16:00,no,52.5060983,13.4957547,POINT(13.4957547 52.5060983)
644658975,11001001,jülicher apotheke,jülicher straße,27,13357,Mitte,Gesundbrunnen,,nan,dispensing_yes,"mo,tu,th,fr 09:00-18:00; we 09:00-14:00; sa 08:30-13:00",yes,52.5539606,13.3923404,POINT(13.3923404 52.5539606)
645677466,11001001,die neue apotheke,turmstraße,77,10551,Mitte,Moabit,,nan,dispensing_yes,mo-fr 08:00-19:00; sa 09:00-18:00,yes,52.5265328,13.3357313,POINT(13.3357313 52.5265328)
645677469,11001001,arminius apotheke,turmstraße,38,10551,Mitte,Moabit,,nan,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-14:00,yes,52.5268142,13.3365504,POINT(13.3365504 52.5268142)
646579859,11007007,ansbacher apotheke,ansbacher straße,13,10787,Tempelhof-Schöneberg,Schöneberg,,https://www.ansbacher-apotheke.de/,dispensing_yes,mo-fr 08:30-19:00; sa 09:00-16:00,yes,52.5034922,13.3429298,POINT(13.3429298 52.5034922)
647943536,11004004,hubertus apotheke am salzufer,salzufer,13/14,10587,Charlottenburg-Wilmersdorf,Charlottenburg,,nan,dispensing_yes,"mo-fr 08:30-18:00; sa,su off",yes,52.5183557,13.3228681,POINT(13.3228681 52.5183557)
650633578,11001001,ludwigs-apotheke,essener straße,16,10555,Mitte,Moabit,+493039903655,https://www.ludwigs-apotheke-berlin-app.de/,dispensing_yes,mo-fr 09:00-19:00; sa 09:00-14:00,yes,52.523569,13.3363347,POINT(13.3363347 52.523569)
653256888,11006006,apotheke am asternplatz,asternplatz,3,12203,Steglitz-Zehlendorf,Lichterfelde,+493084109303,https://www.apothekeamasternplatz-berlin.de/,dispensing_yes,mo-fr 09:00-18:30; sa 09:00-13:30,yes,52.4488384,13.3038018,POINT(13.3038018 52.4488384)
653289588,11003003,easyapotheke,storkower straße,5,10409,Pankow,Prenzlauer Berg,,nan,dispensing_yes,mo-fr 08:30-19:00; sa 09:00-16:00,yes,52.5410448,13.4403303,POINT(13.4403303 52.5410448)
656006001,11006006,düppel apotheke,ludwigsfelder straße,53,14165,Steglitz-Zehlendorf,Zehlendorf,+49308028981,nan,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:00,yes,52.4234139,13.2419523,POINT(13.2419523 52.4234139)
