Technischer Schlüssel;Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name des Planungsraumes
00008100_000a6c9f;00008100:000a6c9f;321.043;Neukölln;Britz;Grünanlage;Vor dem Sportplatz Buschkrugallee;-;-;-;652,00;gewidmet;08200728;Ortolanweg
00008100_000a6b47;00008100:000a6b47;231.099;Neukölln;Buckow;Grünanlage;Wendehalsweg;-;-;-;1254,00;gewidmet;08401140;Vogelviertel Nord
00008100_000a6b6c;00008100:000a6b6c;241.095;Neukölln;Rudow;Grünanlage;Rhodeländer Weg;-;-;-;1332,00;gewidmet;08401244;Waßmannsdorfer Chaussee
00008100_000a6e2c;00008100:000a6e2c;221.054;Neukölln;Britz;Grünanlage;Neumarkplan;-;-;-;1759,00;gewidmet;08200729;Britzer Garten
00008100_000a6d66;00008100:000a6d66;431.008;Neukölln;Neukölln;Grünanlage;Schillerpromenade-Grünanlage;-;-;-;4902,00;gewidmet;08100102;Schillerpromenade Nord
00008100_000a6e2e;00008100:000a6e2e;221.050;Neukölln;Britz;Grünanlage;Friedland II-Grünanlage;-;-;-;2167,00;gewidmet;08200729;Britzer Garten
00008100_000a6e5e;00008100:000a6e5e;211.076;Neukölln;Buckow;Grünanlage;Wildmeisterdamm 252/254;-;-;-;2054,00;gewidmet;08200833;Buckow Ost
00008100_000a6e65;00008100:000a6e65;211.064;Neukölln;Buckow;Grünanlage;Wildmeisterdamm (Hinterland);-;-;-;554,00;-;08200833;Buckow Ost
00008100_000a6e64;00008100:000a6e64;211.073;Neukölln;Buckow;Grünanlage;Schlierbacher Weg;-;-;-;966,00;gewidmet;08200831;Buckow West
00008100_002913ca;00008100:002913ca;211.075;Neukölln;Buckow;Grünanlage;Lindholzweg - Grünanlage;-;2019;-;1541,00;gewidmet;08200832;Buckow Mitte
00008100_0012d9c0;00008100:0012d9c0;00167;Tempelhof-Schöneberg;Mariendorf;Grünanlage;Albulaweg - Grünanlage;-;-;-;2044,00;gewidmet;07501134;Hundsteinweg
00008100_0012dcfb;00008100:0012dcfb;17274;Tempelhof-Schöneberg;Friedenau;Grünanlage;Cosimaplatz;-;-;-;1572,00;gewidmet;07300517;Perelsplatz
00008100_0012d9a0;00008100:0012d9a0;00155;Tempelhof-Schöneberg;Tempelhof;Grünanlage;Friedensplatz;-;-;-;2150,00;gewidmet;07400824;Bosepark
00008100_0012dcfd;00008100:0012dcfd;17269;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Grazer Platz - Grünfläche;-;-;-;13987,00;gewidmet;07300619;Grazer Platz
00008100_0012d977;00008100:0012d977;00142;Tempelhof-Schöneberg;Tempelhof;Grünanlage;Bundesring (Nord) - Gartendenkmal;-;1913;-;2087,00;gewidmet;07400721;Paradestraße
00008100_0012d9e6;00008100:0012d9e6;00189;Tempelhof-Schöneberg;Lichtenrade;Grünanlage;Prinzessinnenstr. (am Bahnhof);-;-;-;1497,00;gewidmet;07601546;Franziusweg
00008100_0012d6f7;00008100:0012d6f7;00707;Tempelhof-Schöneberg;Lichtenrade;Grünanlage;Alt-Lichtenrade 73abc - Hinterland;Groß-Ziethener-Str. neben Nr. 65;-;-;4000,00;gewidmet;07601443;Töpchiner Weg
