Technischer Schlüssel,Schlüssel,Objektnummer,Bezirk,Ortsteil,Art der Grünanlage,Name des Spielplatzes,Namenszusatz des Spielplatzes,Baujahr,letztes Sanierungsjahr,Größe in m² (Kataster),Widmung,Nummer des Planungsraumes,Name des Planungsraumes,Nettospielfläche in m²
00008100_0012d701,00008100:0012d701,00689,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Lessingplatz - Bolzplatz,Bolzplatz,1982,-,171.00,gewidmet,07601442,Kettinger Straße,171.00
00008100_000e3a58,00008100:000e3a58,100750,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Heinrich-Laehr-Park SP -2/2,(ehemals  SP3) südlich,-,-,1151.00,gewidmet,06300528,Teltower Damm,640.87
00008100_0012dce5,00008100:0012dce5,17302,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Viktoria-Luise-Platz - Spielplatz,-,1900,1954,33.00,gewidmet,07100101,Wittenbergplatz,33.00
00008100_0012dce9,00008100:0012dce9,17294,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Heinrich-v.-Kleist-Park - Spielplatz Süd,Potsdamer Str. 186,1910,2016,1099.00,gewidmet,07100204,Barbarossaplatz,540.00
00008100_0012d91b,00008100:0012d91b,00637,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Volkspark Mariendorf - Prühßstraße,"Nessi-Burg, BMX",1923,-,6269.00,gewidmet,07501031,Eisenacher Straße,4454.00
00008100_0012d92e,00008100:0012d92e,00620,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Franckepark - Spielplatz,-,-,2020,873.00,gewidmet,07400927,Rathaus Tempelhof,873.00
00008100_0012d92a,00008100:0012d92a,00663,Tempelhof-Schöneberg,Marienfelde,Spielplatz,Poppenreuther Weg - Spielplatz,Ahrensdorfer Str.-Tirschenreuther Ring,-,-,5180.00,gewidmet,07601341,Diedersdorfer Weg,1999.00
00008100_0012d8fa,00008100:0012d8fa,00639,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Richterstr. - Spielplatz,Ayers Rock - Beach-Volley etc,-,2014,3106.00,gewidmet,07501030,Machonstraße,1530.00
00008100_0012dc13,00008100:0012dc13,17218,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Alboinplatz - Spielplatz,-,-,-,2598.00,gewidmet,07400822,Lindenhofsiedlung,1599.00
00008100_00245761,00008100:00245761,19240,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Annedore-Leber-Park -  Spielplatz,Torgauer Str. Süd,-,-,376.00,gewidmet,07200413,Cheruskerstraße,376.00
00008100_0012d89d,00008100:0012d89d,17354,Tempelhof-Schöneberg,Friedenau,Spielplatz,Perelsplatz - Spielplatz,-,1907,-,884.00,gewidmet,07300517,Perelsplatz,493.00
00008100_0012dcc6,00008100:0012dcc6,17338,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Cheruskerstr. 8 / Roßbachstr. 4,-,-,2006,586.00,gewidmet,07200413,Cheruskerstraße,224.00
00008100_0012d90e,00008100:0012d90e,00618,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Lehnepark - Spielplatz,-,1890,2006,563.00,gewidmet,07400824,Bosepark,563.00
00008100_0012d8e8,00008100:0012d8e8,00633,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Bosepark - Spielplatz,"Die Lok - Bolzplatz, Streetball etc",-,2017,1864.00,gewidmet,07400824,Bosepark,1175.00
00008100_0012db64,00008100:0012db64,19056,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Götzstraße 30,an der Templerzeile,2012,2012,469.00,gewidmet,07400927,Rathaus Tempelhof,469.00
00008100_0012d75a,00008100:0012d75a,00676,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Schätzelberge - Spielpl. Steinhellenweg,Steinhellenweg 25,-,-,2173.00,gewidmet,07501031,Eisenacher Straße,730.00
00008100_0012d6d9,00008100:0012d6d9,00688,Tempelhof-Schöneberg,Marienfelde,Spielplatz,Heilandsweide - Bolzplatz,Bolzplatz,-,1995,627.00,gewidmet,07601237,Kirchstraße,627.00
00008100_0021a9cb,00008100:0021a9cb,19231,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Monumentenstr. Nord - Spielplatz,-,2013,2013,3126.00,gewidmet,07100206,Großgörschenstraße,2856.00
00008100_0012d916,00008100:0012d916,00645,Tempelhof-Schöneberg,Marienfelde,Spielplatz,Gutspark Marienfelde - Spielplatz,Burgruine,-,2014,1811.00,gewidmet,07601237,Kirchstraße,920.00
00008100_0012d799,00008100:0012d799,18027,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Priesterweg 21,am Baluschek-Park,2001,-,7559.00,gewidmet,07300619,Grazer Platz,4665.00
00008100_0012d7a3,00008100:0012d7a3,18016,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Dennewitzstr. 25-26 - Bolzplatz,-,-,-,461.00,gewidmet,07100205,Alvenslebenstraße,305.00
00008100_0012d7c0,00008100:0012d7c0,17981,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Gottlieb-Dunkel-Str.-Spielplatz,"ggü. Tempelhofer Weg,BMX,Streetball etc",-,2004,4211.00,gewidmet,07400928,Germaniagarten,1880.00
00008100_0012d901,00008100:0012d901,00649,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Lessingplatz - Spielplatz,-,-,1992,853.00,gewidmet,07601442,Kettinger Straße,559.00
00008100_0012d7e3,00008100:0012d7e3,17935,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Gleditschstr. 11-13 - Spielplatz,-,-,2003,992.00,gewidmet,07100103,Frobenstraße,1818.00
00008100_0012dced,00008100:0012dced,17291,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Kurt-Hiller-Park - Spielplatz,"Grunewaldstr. 94/Hauptstr. 1/2, Bolzpl.",2001,2008,6341.00,gewidmet,07200409,Belziger Straße,3331.00
00008100_0012d8e9,00008100:0012d8e9,00647,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Küstriner Str.,"Bolzplatz, BMX etc",1982,-,6531.00,gewidmet,07601443,Töpchiner Weg,3996.00
00008100_0012d903,00008100:0012d903,00629,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Garten der Blumen und Wasserspiele,Spielplatz,1953,-,5622.00,gewidmet,07400721,Paradestraße,2101.00
00008100_0012d91e,00008100:0012d91e,00632,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Wolffring - Spielplatz,Bolzplatz etc,1927,-,803.00,gewidmet,07400721,Paradestraße,779.00
00008100_0012d917,00008100:0012d917,00636,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Rohrbeckstr. - Spielplatz,-,-,-,1285.00,gewidmet,07400928,Germaniagarten,705.00
00008100_0012d905,00008100:0012d905,00627,Tempelhof-Schöneberg,Marienfelde,Spielplatz,Amstelveen - Spielplatz,Marienfelder Allee 223,1977,1999,120.00,gewidmet,07601341,Diedersdorfer Weg,120.00
00008100_0012dcf3,00008100:0012dcf3,17285,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Wartburgplatz - Spielplatz,Gothaerstr./Wartburgstr.,1955,-,1963.00,gewidmet,07200409,Belziger Straße,1963.00
00008100_0012d8e3,00008100:0012d8e3,00634,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Ringstr. Nord - Spielplatz Ringstr. 10,Zur alten Poststation,-,-,820.00,gewidmet,07400826,Marienhöhe,820.00
00008100_0012d740,00008100:0012d740,00690,Tempelhof-Schöneberg,Marienfelde,Spielplatz,FZP Marienfelde - Bolzplätze,"Bolzplatz, Inline-Hockey, Streetball,",-,2000,3792.00,gewidmet,07601341,Diedersdorfer Weg,3792.00
00008100_0012dcc3,00008100:0012dcc3,17343,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Der Insulaner - Spielplatz,-,-,2014,6410.00,gewidmet,07300619,Grazer Platz,250.00
00008100_0012d74a,00008100:0012d74a,00674,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Götzstr. 64 östl. Felixstr. - Spielplatz,"Sportarena - Beach-Volley,Streetball etc",-,-,2569.00,gewidmet,07400927,Rathaus Tempelhof,1061.00
00008100_0012d91c,00008100:0012d91c,00654,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Ma-Damm - Ullsteinstr. - Spielplatz,"Ma-Damm 20/22 Die Baustelle, Bolzplatz",-,2016,2095.00,gewidmet,07501030,Machonstraße,1101.00
00008100_0021a9ca,00008100:0021a9ca,19230,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Monumentenstr. Süd - Spielplatz,-,-,-,574.00,gewidmet,07200414,Hohenfriedbergstraße,574.00
00008100_0012d907,00008100:0012d907,00655,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Wimbachpromenade - Spielplatz,Floningweg - Bolzplatz etc.,-,-,425.00,gewidmet,07501134,Hundsteinweg,425.00
00008100_0012db71,00008100:0012db71,19022,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Cheruskerpark Spielplatz Nord,ehem. GASAG,1953,2009,708.00,gewidmet,07200413,Cheruskerstraße,708.00
00008100_0012d928,00008100:0012d928,00660,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Tempelhofer Damm 161 - Spielplatz,"""Grunackpark""",-,-,250.00,gewidmet,07400927,Rathaus Tempelhof,250.00
00008100_0011e2dc,00008100:0011e2dc,00734,Spandau,Hakenfelde,Spielplatz,Paula-Hirschfeld-Promenade (KS),"Krienicke-Steig (Quartier Schultheiss), 13585",1999,-,1277.00,gewidmet,05100313,Eiswerder,1277.00
00008100_0012dce8,00008100:0012dce8,17295,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Heinrich-v.-Kleist-Park Spielplatz Nord,"Potsdamer Str., Skate- + Bolzplatz etc",1910,2018,4054.00,gewidmet,07100204,Barbarossaplatz,2466.00
00008100_0012d6e2,00008100:0012d6e2,00685,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Marienhöhe - Spielplatz Marienhöher Weg,Bolzplatz,-,-,5277.00,gewidmet,07400826,Marienhöhe,5277.00
00008100_0012d90a,00008100:0012d90a,00666,Tempelhof-Schöneberg,Marienfelde,Spielplatz,Maximilian-Kaller-Str. - Spielplatz,"Grünzug in Ri Tambacher Str., Bolzplatz",-,-,12264.00,gewidmet,07601236,Marienfelder Allee Nordwest,7986.00
00008100_0021a9af,00008100:0021a9af,19229,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Monumentenplatz - Spielplatz,Am Lokdepot,2014,2014,480.00,gewidmet,07200414,Hohenfriedbergstraße,480.00
00008100_0012d918,00008100:0012d918,00630,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Bäumerplan - Spielplatz,"Wüsthoffstr. Bolzplatz, Streetball, etc",1913,-,7775.00,-,07400721,Paradestraße,4098.00
00008100_0012d902,00008100:0012d902,00621,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Alarichplatz - Spielplatz,Bolzplatz etc.,2019,2019,6455.00,gewidmet,07400826,Marienhöhe,3571.00
00008100_0012dcf2,00008100:0012dcf2,17286,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Wartburgplatz - Spielstraße,"Apostel-Paulus-Str., Bolzplatz etc",1976,-,2401.00,gewidmet,07200409,Belziger Straße,2281.00
00008100_0012d92d,00008100:0012d92d,00635,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Marienhöhe - Spielplatz Gerdsmeyerweg,-,-,2015,4963.00,gewidmet,07400826,Marienhöhe,2972.00
00008100_0012d7e2,00008100:0012d7e2,17936,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Hans-Baluschek-Park - Spielbereiche,"wegbegleitendes Spielangebot, Streetball",2001,-,3962.00,gewidmet,07300619,Grazer Platz,3962.00
00008100_0012d8f6,00008100:0012d8f6,00643,Tempelhof-Schöneberg,Marienfelde,Spielplatz,Hildburghauser Str.,"neben Nr. 19, Bolzplatz etc",1976,2008,10095.00,gewidmet,07601236,Marienfelder Allee Nordwest,8599.00
00008100_0012d70a,00008100:0012d70a,00697,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Hattenheimer Str. 3 - Spielplatz,"An der BAB 100, Titanic",2000,-,785.00,gewidmet,07400928,Germaniagarten,1800.00
00008100_0012d6e3,00008100:0012d6e3,00699,Tempelhof-Schöneberg,Marienfelde,Spielplatz,Heilandsweide - Spielplatz,Einzelflächen,1997,2016,1261.00,gewidmet,07601237,Kirchstraße,1261.00
00008100_0012dbf1,00008100:0012dbf1,18063,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Bülowstr. 69 - Spielplatz,Skateanlage,2005,-,472.00,gewidmet,07100205,Alvenslebenstraße,474.00
00008100_00206e97,00008100:00206e97,102324,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Pappritz- / Wichurastraße SP -4/4,Wichurastraße 71,-,-,724.00,gewidmet,06200316,Belßstraße,332.81
00008100_0012d766,00008100:0012d766,00705,Tempelhof-Schöneberg,Marienfelde,Spielplatz,FZP Marienfelde - Skateboard,Skateboard,-,2010,1652.00,gewidmet,07601341,Diedersdorfer Weg,1652.00
00008100_0012d8ec,00008100:0012d8ec,00653,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Hirzerweg - Spielplatz,Körtingstr. neben Nr. 14 Bolzplatz etc,-,-,2350.00,gewidmet,07501133,Fritz-Werner-Straße,1372.00
00008100_0012dce4,00008100:0012dce4,17299,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Rudolph-Wilde-Park - Spielpl. Milchhaus,Freiherr-vom-Stein-Str. ggü. Rathaus,1912,1968,238.00,gewidmet,07200308,Volkspark (Rudolph-Wilde-Park),135.00
00008100_0012d926,00008100:0012d926,00623,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Volkspark Mariendorf - Mariendorfer Damm,Planetensystem,1923,-,1740.00,gewidmet,07501031,Eisenacher Straße,1452.00
00008100_000e3bb2,00008100:000e3bb2,102178,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Breitensteinweg SP,-,-,-,2629.00,gewidmet,06300525,Zehlendorf Süd,2053.26
00008100_0011e2ff,00008100:0011e2ff,00666,Spandau,Hakenfelde,Spielplatz,Aalemannufer-Am Teufelsbruch (KS),Wasserstadt II ,1997,2017,1750.00,gewidmet,05100101,Hakenfelde Nord,1750.00
00008100_000e3c6f,00008100:000e3c6f,102068,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Johann-Baptist-Gradl-Grünanlage SP -1/4,Blochmannstraße nördlich,-,-,1069.00,gewidmet,06200423,Schütte-Lanz-Straße,872.79
00008100_000e3bb5,00008100:000e3bb5,102177,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Waltershauser Straße SP,Gallwitzallee 114 B,-,-,2134.00,gewidmet,06200315,Gallwitzallee,1236.72
00008100_000e3c92,00008100:000e3c92,101776,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Pappritz- / Wichurastraße SP -1/4,Pappritzstraße 32,-,-,2696.00,gewidmet,06200317,Lankwitz Süd,2155.50
00008100_000e3b02,00008100:000e3b02,100883,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Schönower Park SP,-,-,-,2737.00,gewidmet,06300528,Teltower Damm,2073.83
00008100_000e39aa,00008100:000e39aa,102097,Steglitz-Zehlendorf,Steglitz,Spielplatz,Harry-Bresslau-Park SP,Lepsiusstraße,-,-,1802.00,gewidmet,06100103,Markelstraße,1692.99
00008100_000e3ad3,00008100:000e3ad3,101466,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Gemeindewäldchen SP,-,-,-,3529.00,gewidmet,06400839,Fischerhüttenstraße,2043.23
00008100_000e3850,00008100:000e3850,101011,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Ramsteinweg SP,-,-,-,3459.00,gewidmet,06300525,Zehlendorf Süd,2719.17
00008100_000e3743,00008100:000e3743,102089,Steglitz-Zehlendorf,Steglitz,Spielplatz,Munsterdamm 89 SP,-,-,-,952.00,gewidmet,06100204,Munsterdamm,562.83
00008100_000e3afa,00008100:000e3afa,100874,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Bolchener Straße SP,-,-,-,4939.80,gewidmet,06300527,Sundgauer Straße,3532.50
00008100_000e3ca4,00008100:000e3ca4,101766,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Keffenbrinkweg SP,Keffenbrinkweg 50,-,-,1571.00,gewidmet,06200316,Belßstraße,437.28
00008100_000e3cba,00008100:000e3cba,102012,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Pappritz- / Wichurastraße SP -2/4,Emmichstraße,-,-,488.00,gewidmet,06200316,Belßstraße,487.34
00008100_000e373d,00008100:000e373d,101682,Steglitz-Zehlendorf,Steglitz,Spielplatz,Stadtpark Steglitz SP -2/3,Sedanstraße,-,-,1119.00,gewidmet,06100206,Stadtpark,1060.81
00008100_000e3c68,00008100:000e3c68,102067,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Rathaus Lichterfelde Ost SP,Ostpreußendamm / Schillerstraße,-,-,597.00,gewidmet,06200421,Königsberger Straße,596.84
00008100_000e3c4f,00008100:000e3c4f,102060,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Schloßpark Lichterfelde SP -2/2,Am Naturschutzgebiet,-,-,893.00,gewidmet,06300630,Hindenburgdamm,872.75
00008100_000e3878,00008100:000e3878,101018,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Brettnacher Straße SP,-,-,-,4142.00,gewidmet,06300527,Sundgauer Straße,2766.16
00008100_000e3c3f,00008100:000e3c3f,101715,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Rathaus Lankwitz SP -1/2,Charlottenstraße / Leonorenstraße,-,-,268.00,gewidmet,06200313,Lankwitz Kirche,267.85
00008100_000e3a96,00008100:000e3a96,100777,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Fischtalpark SP -2/2,Wilskistraße,-,-,648.00,gewidmet,06400840,Fischtal,562.35
00008100_000e3c54,00008100:000e3c54,101704,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Augustaplatz SP,-,-,-,258.00,gewidmet,06300633,Augustaplatz,258.27
00008100_000e3bee,00008100:000e3bee,102119,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Rathaus Lankwitz SP -2/2,an der S-Bahn,-,-,1084.00,gewidmet,06200313,Lankwitz Kirche,752.01
00008100_000e3c39,00008100:000e3c39,101717,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Dorfaue Alt-Lankwitz SP,-,-,-,310.00,gewidmet,06200311,Alt-Lankwitz,309.82
00008100_000e3c4c,00008100:000e3c4c,101709,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Ahlener Weg SP -1/2,Lippstädter Straße,-,-,3435.00,gewidmet,06200420,Lichterfelde Süd,2258.41
00008100_000e3c69,00008100:000e3c69,101698,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Osdorfer Straße 90-91 SP,Lichterfelder Ring / Osdorfer Straße,-,-,2274.00,gewidmet,06200423,Schütte-Lanz-Straße,1150.58
00008100_0016d071,00008100:0016d071,77866,Pankow,Prenzlauer Berg,Spielplatz,Blankensteinpark - Spielplatz,Richard-Ermisch-Str.,2005,-,3625.00,gewidmet,03601453,Alter Schlachthof,1027.00
00008100_000e3ac2,00008100:000e3ac2,101480,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Paul-Mebes-Park SP,-,-,-,708.00,gewidmet,06300526,Zehlendorf Mitte,419.58
00008100_000e3a56,00008100:000e3a56,100784,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Mörchinger Straße SP -1/2,-,-,-,140.00,gewidmet,06300527,Sundgauer Straße,140.24
00008100_000e3c3e,00008100:000e3c3e,101713,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Bernkastler Platz SP,-,-,-,1566.00,gewidmet,06200313,Lankwitz Kirche,1282.40
00008100_000e387f,00008100:000e387f,100943,Steglitz-Zehlendorf,Dahlem,Spielplatz,Dreipfuhlpark SP,-,-,-,259.00,gewidmet,06400843,Thielallee,258.79
00008100_000e387c,00008100:000e387c,101428,Steglitz-Zehlendorf,Dahlem,Spielplatz,Messelpark SP,-,-,-,213.00,gewidmet,06400844,Dahlem,212.62
00008100_000e3741,00008100:000e3741,101683,Steglitz-Zehlendorf,Steglitz,Spielplatz,Stadtpark Steglitz SP -3/3,Vionvillestraße (Goebenwiese),-,-,2083.00,gewidmet,06100206,Stadtpark,2074.24
00008100_000e3c2e,00008100:000e3c2e,101722,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Apoldaer Straße SP -2/2,Trippsteinstraße,-,-,1039.00,gewidmet,06200317,Lankwitz Süd,851.59
00008100_000e3a5c,00008100:000e3a5c,101591,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Mörchinger Straße SP -2/2,Basketball,-,-,88.00,gewidmet,06300527,Sundgauer Straße,92.83
00008100_000e3a49,00008100:000e3a49,100781,Steglitz-Zehlendorf,Nikolassee,Spielplatz,Von-der-Trenck-Straße 10 SP,-,-,-,5176.00,gewidmet,06400736,Düppel,3059.61
00008100_000e3c72,00008100:000e3c72,102069,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Lilienthal-Gedenkstätte SP -1/2,Schütte-Lanz-Straße,-,-,2320.00,gewidmet,06200423,Schütte-Lanz-Straße,2237.91
00008100_000e3c56,00008100:000e3c56,101689,Steglitz-Zehlendorf,Steglitz,Spielplatz,Bäkepark SP -1/3,"Haydnstraße, Klingsorstraße 96a",-,-,2246.00,gewidmet,06100207,Mittelstraße,1512.61
00008100_000e3c6d,00008100:000e3c6d,101697,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Lilienthal-Gedenkstätte SP -2/2,Pertisauer Weg,-,-,484.00,gewidmet,06200423,Schütte-Lanz-Straße,446.79
00008100_000e3c2f,00008100:000e3c2f,101721,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Gemeindepark Lankwitz SP,Mühlenstraße,-,-,1955.00,gewidmet,06200315,Gallwitzallee,1817.34
00008100_000e3c62,00008100:000e3c62,101687,Steglitz-Zehlendorf,Steglitz,Spielplatz,Georg-von-Siemens-Park SP,Kelchstraße,-,-,2702.00,gewidmet,06100204,Munsterdamm,1426.73
00008100_000e399e,00008100:000e399e,101667,Steglitz-Zehlendorf,Steglitz,Spielplatz,Charkiw-Park SP,Grunewaldstraße 50  / Rothenburgstr. 35,-,-,1261.00,gewidmet,06100101,Fichtenberg,1155.61
00008100_000e386c,00008100:000e386c,101403,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Echtermeyerstraße SP,Durchg. zur Hampsteadstr.,-,-,3282.00,gewidmet,06300527,Sundgauer Straße,2397.84
00008100_000e38bc,00008100:000e38bc,101414,Steglitz-Zehlendorf,Schlachtensee,Spielplatz,Paul-Ernst-Park SP,-,-,-,764.00,gewidmet,06400737,Nikolassee,763.53
00008100_000e373f,00008100:000e373f,102083,Steglitz-Zehlendorf,Steglitz,Spielplatz,Stadtpark Steglitz SP -1/3,Spielgarten,-,-,4771.00,gewidmet,06100206,Stadtpark,4768.37
00008100_000e3acb,00008100:000e3acb,101452,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Krumme Lanke SP - Argentinische Allee,Argentinische Allee ggü. Nr. 89,-,-,5883.00,gewidmet,06400840,Fischtal,5799.35
00008100_000e374e,00008100:000e374e,101681,Steglitz-Zehlendorf,Steglitz,Spielplatz,Markusplatz SP,-,-,-,1684.00,gewidmet,06100205,Südende,785.64
00008100_000e3c57,00008100:000e3c57,102076,Steglitz-Zehlendorf,Steglitz,Spielplatz,Bäkepark SP -2/3,"Rosengarten, Klingsorstraße 96a",-,-,1666.00,gewidmet,06100207,Mittelstraße,1387.77
00008100_000e38ac,00008100:000e38ac,100965,Steglitz-Zehlendorf,Schlachtensee,Spielplatz,Wasgenstraße SP,-,-,-,2036.00,gewidmet,06400737,Nikolassee,1324.82
00008100_000e3c42,00008100:000e3c42,102054,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Teltowkanalpromenade SP,An der Wiesenbaude / Königsberger Straße,-,-,3336.00,gewidmet,06300631,Goerzwerke,2655.04
00008100_000e3c45,00008100:000e3c45,101714,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Döhlauer Pfad SP,Bernecker Weg / Goldmühler Weg,-,-,3190.00,gewidmet,06200311,Alt-Lankwitz,2685.67
00008100_000e3a65,00008100:000e3a65,100731,Steglitz-Zehlendorf,Wannsee,Spielplatz,Dampferanlegestelle Wannsee SP,-,1986,-,467.00,gewidmet,06400735,Wannsee,466.62
00008100_000e3c2d,00008100:000e3c2d,102043,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Apoldaer Straße SP -1/2,Apoldaer Straße,-,-,731.00,gewidmet,06200317,Lankwitz Süd,690.01
00008100_000e3a94,00008100:000e3a94,100749,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Heinrich-Laehr-Park SP -1/2,(ehemals SP1 und SP2) nördlich,-,-,923.00,gewidmet,06300528,Teltower Damm,549.45
00008100_000e3c8d,00008100:000e3c8d,101777,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Kolonie Königsgraben SP,Orlamünder Weg,-,-,1068.00,gewidmet,06200317,Lankwitz Süd,665.22
00008100_000e3a97,00008100:000e3a97,100776,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Fischtalpark SP -1/2,Sophie-Charlotte-Straße,-,-,421.00,gewidmet,06400840,Fischtal,412.75
00008100_000e3829,00008100:000e3829,101358,Steglitz-Zehlendorf,Dahlem,Spielplatz,Lützelsteiner Weg SP,Ecke Leichhardtstraße,-,-,2105.00,gewidmet,06400843,Thielallee,1410.99
00008100_000e385f,00008100:000e385f,101422,Steglitz-Zehlendorf,Dahlem,Spielplatz,Thielpark und Triestpark SP -1/2,Faradayweg,-,-,1651.00,gewidmet,06400843,Thielallee,1739.76
00008100_000e3b1f,00008100:000e3b1f,100916,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Marga-Meusel-Platz SP,Karl-Hofer-Straße 34,-,-,250.00,gewidmet,06400839,Fischerhüttenstraße,250.06
00008100_000e39a4,00008100:000e39a4,102094,Steglitz-Zehlendorf,Steglitz,Spielplatz,Ruth-Andreas-Friedrich-Park SP -2/2,-,-,-,1914.00,gewidmet,06100101,Fichtenberg,1116.77
00008100_000e3c52,00008100:000e3c52,101705,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Schloßpark Lichterfelde SP -1/2,-,-,-,1237.00,gewidmet,06300630,Hindenburgdamm,861.99
00008100_000e39a5,00008100:000e39a5,101671,Steglitz-Zehlendorf,Steglitz,Spielplatz,Ruth-Andreas-Friedrich-Park SP -1/2,-,-,-,252.00,gewidmet,06100101,Fichtenberg,252.22
00008100_000e3b0f,00008100:000e3b0f,101473,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Grünzug Düppel-Süd SP -1/2,Berlepschstraße 153,-,-,784.00,gewidmet,06300524,Berlepschstraße,690.64
00008100_000e3b18,00008100:000e3b18,101471,Steglitz-Zehlendorf,Nikolassee,Spielplatz,Yehudi-Menuhin-Park SP,Am Rohrgarten/Wiesenschlag,-,-,4064.00,gewidmet,06400736,Düppel,4035.10
00008100_000e38a0,00008100:000e38a0,101424,Steglitz-Zehlendorf,Dahlem,Spielplatz,Am Erlenbusch SP,-,-,-,116.00,gewidmet,06400844,Dahlem,116.44
00008100_000e3c91,00008100:000e3c91,101775,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Johann-Baptist-Gradl-Grünanlage SP -4/4,Lichterfelder Ring,-,-,457.00,gewidmet,06200423,Schütte-Lanz-Straße,457.26
