original_id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
1809,KiTa Am Mauerpark,"Lichtburgring 11, 13355 Berlin",13355.0,Gesundbrunnen,Unknown,Unknown,Step Kids KiTas gGmbH,78.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1810,Kita Wassergeister,Unknown,Unknown,Nan,Unknown,Unknown,Kindertagesstätten Nordwest,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1811,Kita im Johannisstift,"Schönwalder Allee 26/35, 13587 Berlin",13587.0,Hakenfelde,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1812,Kita Wirbelwind,Unknown,Unknown,Nan,Unknown,Unknown,Humanistischer Verband Deutschlands e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1813,Kita Apfelbande,"Alt-Gatow 34, 14089 Berlin",14089.0,Nan,Unknown,Unknown,Evangelischer Kirchenkreis Spandau,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1814,Kita Naturdetektive,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1815,Kita Murmelstein,"Schweizer Tal 18, 13127 Berlin",13127.0,Französisch Buchholz,Unknown,Unknown,JAO gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1816,EKT - Sonnenhaus e.V.,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1817,EKT - Regenbogenkinder e.V.,"Sandhauser Straße 145, 13503 Berlin",13503.0,Heiligensee,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1818,Global Village,"Ringstraße 28, 12105 Berlin",12105.0,Mariendorf,Unknown,Unknown,Global Village gUG,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1819,Kita Kiesteich-Surfer,"Am Kiesteich 40, 13589 Berlin",13589.0,Falkenhagener Feld,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1820,Kindergarten Augustastrolche,"Augustastraße 36, 12203 Berlin",12203.0,Nan,Unknown,Unknown,FRÖBEL Bildung und Erziehung,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1821,Kita Manteuffelstraße,"Manteuffelstraße 11-12, 12203 Berlin",12203.0,Nan,Unknown,Unknown,Kindertagesstätten Berlin Süd-West,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1822,Kita Wundertüte,Unknown,Unknown,Nan,Unknown,Unknown,Arbeiterwohlfahrt Kreisverband Spandau e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1823,Kita Oranienstraße,Unknown,Unknown,Nan,Unknown,Unknown,Pfefferwerk gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1824,Kita Mörchinger Straße,Unknown,Unknown,Nan,Unknown,Unknown,Kindertagesstätten Berlin Süd-West,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1825,Kita Springmäuse,Unknown,Unknown,Nan,Unknown,Unknown,urban-consult gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1826,Kita Kastanie,Unknown,Unknown,Nan,Unknown,Unknown,KuBiS gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1827,Kita Wilhelmstraße 14A,"Wilhelmstraße 14A, 10963 Berlin",10963.0,Kreuzberg,Unknown,Unknown,Kindergärten City,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1828,Kita Wirbelwind,Unknown,Unknown,Nan,Unknown,Unknown,Pfefferwerk Stadtkultur gGmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1829,Kindertagesstätte Sonnenstrahl,Unknown,Unknown,Nan,Unknown,Unknown,Evangelische Kirchengemeinde Berlin-Niederschöneweide,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1830,Kita Reichenberger Straße 156a,Unknown,Unknown,Nan,Unknown,Unknown,VAK e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1831,Kita Römerweg,Unknown,Unknown,Nan,Unknown,Unknown,Kindergärten NordOst,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
1832,Kita Neu-Westend 47,Unknown,Unknown,Nan,Unknown,Unknown,Evangelischer Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-West,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
