area_id,area_name,Straftaten -insgesamt-,Raub,"Straßenraub, Handtaschen-raub",Körper-verletzungen -insgesamt-,Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Diebstahl -insgesamt-,Diebstahl von Kraftwagen,Diebstahl an/aus Kfz,Fahrrad- diebstahl,Wohnraum- einbruch,Branddelikte -insgesamt-,Brand- stiftung,Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten,year,data_type
75011,Mariendorf Süd,8099.762470308789,47.50593824228028,33.2541567695962,907.3634204275534,166.270783847981,479.8099762470309,3220.902612826603,327.79097387173397,769.5961995249406,247.03087885985747,237.52969121140143,42.75534441805225,9.501187648456057,684.085510688836,104.51306413301663,147.2684085510689,2237.5296912114013,2024,frequency
76012,Marienfelde Nord,6179.962276711417,27.737712193498282,0,665.7050926439588,144.23610340619106,382.7804282702763,2662.820370575835,310.66237656718073,532.5640741151669,188.6164429157883,432.70831021857316,22.190169754798625,0,604.6821258182625,183.06890047708865,61.022966825696216,1619.8823921002995,2024,frequency
76013,Marienfelde Süd,7554.8784710200125,76.17201024859774,48.47309743092584,1052.5586870715324,283.91385638113707,609.376081988782,2416.730143341874,159.26874870161348,581.67716917111,159.26874870161348,138.49456408835954,13.849456408835954,6.924728204417977,893.289938369919,83.09673845301572,48.47309743092584,2347.482861297694,2024,frequency
76014,Lichtenrade Nord,4070.8879800686314,18.803177737037558,9.401588868518779,578.1977154139049,98.71668311944718,347.8587881351948,1570.0653410426362,253.84289945000702,347.8587881351948,51.70873877685328,423.07149908334503,23.503972171296947,0,460.6778545574202,47.007944342593895,37.606355474075116,1325.6240304611479,2024,frequency
76015,Lichtenrade Süd,5586.015609881958,45.15255111913823,29.026640005160292,719.2156356834162,99.98064890666323,425.7240534090176,1822.2279558795071,209.6368444817132,441.84996452299555,138.68283558021028,187.0605689221441,35.477004450751465,3.225182222795588,745.0170934657808,93.53028446107206,70.95400890150293,1680.3199380765013,2024,frequency
79900,"Bezirk (Th-Sb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,frequency
80000,Neukölln,13600.511488802093,138.4777147843899,76.66271737516553,1386.2922213098113,451.18887814870146,675.4197511037311,6486.93855165037,224.83690234139453,1519.0126569237343,657.2388695127827,233.0182990573213,118.78175972752919,40.300954193268836,1284.4792844005005,112.1154364775148,436.9471875691252,3493.1533830075423,2024,frequency
81001,Schillerpromenade,14474.755086661642,183.8733986435569,96.45817633760362,1437.8296910324038,518.4626978146194,503.39110776186885,7701.582516955539,84.40090429540317,1621.7030896759609,1284.0994724943482,132.62999246420497,126.60135644310475,45.214770158251696,1184.6269781461945,108.51544837980407,801.8085908063301,3752.8259231348907,2024,frequency
81002,Neuköllner Mitte/Zentrum,23253.4110478209,204.00052987150616,105.97430123195124,2069.148231553848,749.768181216055,710.0278182540733,12192.34335673599,95.37687110875612,2461.2531461120675,1012.0545767651344,180.15631209431712,151.01337925553054,34.441647900384154,1870.4464167439394,185.45502715591468,723.2746059080672,4795.337130745794,2024,frequency
81003,Reuterstraße,19312.53415211678,236.78800967968567,124.89916994093309,1725.1697848091385,772.8136140095236,697.3536988368764,9635.450547734901,91.07231141526371,2344.461502432932,1012.2036897296454,197.75701907314408,192.55288699227185,44.235122687413806,1993.1825869740574,236.78800967968567,830.0590668991179,4686.320938825427,2024,frequency
81004,Rixdorf,13329.749379207946,138.23823055064895,76.79901697258275,1323.5030591608427,491.5137086245296,575.9926272943707,6207.920538617105,140.79819778306836,1500.140798197783,1126.3855822645469,156.1580011775849,151.03806671274606,61.4392135780662,1308.143255766326,76.79901697258275,632.3119064075979,3340.7572383073493,2024,frequency
81005,Köllnische Heide,18810.78258599308,150.12074929834867,84.85085829906664,1644.8012531819072,626.5909535931075,1011.6833104888715,7545.199399517002,424.2542914953332,2395.4049996736503,378.56536779583575,313.29547679655377,254.55257489719992,84.85085829906664,2512.890803472358,130.53978199856405,469.9432151948306,4490.568500750604,2024,frequency
82006,Britz Nord,11202.046035805626,106.95187165775401,51.150895140664964,1334.5733550337131,297.6052080911416,785.8637526156708,4859.335038363171,306.9053708439898,1567.0774238549175,446.40781213671244,288.30504533829344,60.45105789351314,37.2006510113927,1009.067658684027,60.45105789351314,260.4045570797489,3394.559404789584,2024,frequency
82007,Britz,12050.885336083893,124.63469142169504,77.35946364105209,1259.2401581571257,262.16262678356543,636.0667010486505,5978.167440261303,442.6680419460203,1289.3243940175348,498.53876568678015,279.3536187037992,81.65721162111055,25.7864878803507,1117.4144748151969,206.2919030428056,171.909919202338,3412.411896166409,2024,frequency
82008,Buckow,5757.429497345377,37.923188305867754,24.132938012824933,813.6247672895263,134.4549403571675,537.81976142867,2196.097359167069,313.7281941667241,617.1137006136662,127.55981521064608,268.909880714335,48.26587602564987,17.237812866303525,534.3721988554092,3.4475625732607047,106.87443977108184,1944.4252913190373,2024,frequency
83009,Gropiusstadt West,10605.683571393023,124.42144030259294,54.7454337331409,1114.816105111233,288.65774150201565,656.9452047976907,5564.126810331956,303.58831433832677,905.7880854028766,238.88916538097845,273.7271686657045,84.6065794057632,44.79171850893346,940.6260886876026,94.56029462997064,104.51400985417807,2901.5079878564675,2024,frequency
