station_id,station,line,latitude,longitude,district,district_id
264,S Sundgauer Str. (Berlin),['S1'],52.436375,13.273898,Steglitz-Zehlendorf,11006006
265,S Sundgauer Str. (Berlin),['S1'],52.436317,13.27395,Steglitz-Zehlendorf,11006006
266,S Mexikoplatz (Berlin),['S1'],52.436783,13.233258,Steglitz-Zehlendorf,11006006
267,S Mexikoplatz (Berlin),['S1'],52.436719,13.233192,Steglitz-Zehlendorf,11006006
268,S Schlachtensee (Berlin),['S1'],52.440146,13.215488,Steglitz-Zehlendorf,11006006
269,S Schlachtensee (Berlin),['S1'],52.440069,13.215529,Steglitz-Zehlendorf,11006006
270,S Nikolassee (Berlin),['S1'],52.431802,13.194064,Steglitz-Zehlendorf,11006006
271,S Nikolassee (Berlin),['S1'],52.431741,13.194195,Steglitz-Zehlendorf,11006006
272,S Schöneberg (Berlin),['S1'],52.479248,13.351921,Tempelhof-Schöneberg,11007007
273,S Schöneberg (Berlin),['S1'],52.479308,13.351781,Tempelhof-Schöneberg,11007007
274,S+U Yorckstr. (Großgörschenstr.) (Berlin),['S1'],52.492301,13.367777,Tempelhof-Schöneberg,11007007
275,S+U Yorckstr. (Großgörschenstr.) (Berlin),['S1'],52.492245,13.367968,Tempelhof-Schöneberg,11007007
276,S Friedenau (Berlin),['S1'],52.470498,13.341152,Tempelhof-Schöneberg,11007007
277,S Friedenau (Berlin),['S1'],52.470453,13.341258,Tempelhof-Schöneberg,11007007
278,S+U Rathaus Steglitz (Berlin),['S1'],52.45545,13.322332,Steglitz-Zehlendorf,11006006
279,S+U Rathaus Steglitz (Berlin),['S1'],52.455394,13.322476,Steglitz-Zehlendorf,11006006
280,S Feuerbachstr. (Berlin),['S1'],52.463431,13.332339,Steglitz-Zehlendorf,11006006
281,S Feuerbachstr. (Berlin),['S1'],52.463397,13.332414,Steglitz-Zehlendorf,11006006
282,S Lichterfelde West (Berlin),['S1'],52.443216,13.293109,Steglitz-Zehlendorf,11006006
283,S Lichterfelde West (Berlin),['S1'],52.443101,13.293216,Steglitz-Zehlendorf,11006006
284,S Botanischer Garten (Berlin),['S1'],52.448005,13.307177,Steglitz-Zehlendorf,11006006
285,S Botanischer Garten (Berlin),['S1'],52.44796,13.307229,Steglitz-Zehlendorf,11006006
286,S+U Wuhletal (Berlin),['S5'],52.512766,13.575204,Marzahn-Hellersdorf,11010010
287,S Schönholz (Berlin),"['S1', 'S1A', 'S25']",52.571733,13.380018,Reinickendorf,11012012
288,S Eichborndamm (Berlin),['S25'],52.57642,13.31582,Reinickendorf,11012012
289,S Wilhelmsruh (Berlin),"['S1', 'S26', 'S85']",52.581656,13.362192,Reinickendorf,11012012
290,S Wilhelmsruh (Berlin),"['S1', 'S26', 'S85']",52.581723,13.3623,Reinickendorf,11012012
291,S Lichterfelde Ost Bhf (Berlin),['S25'],52.428729,13.327922,Steglitz-Zehlendorf,11006006
292,S Südkreuz Bhf (Berlin),"['S2', 'S25', 'S26']",52.47619,13.365085,Tempelhof-Schöneberg,11007007
293,S Südkreuz Bhf (Berlin),"['S2', 'S25', 'S26']",52.476146,13.365282,Tempelhof-Schöneberg,11007007
294,S Hohenschönhausen Bhf (Berlin),['S75'],52.566472,13.513129,Lichtenberg,11011011
295,S Westkreuz (Berlin),"['S41', 'S46']",52.500854,13.283931,Charlottenburg-Wilmersdorf,11004004
