,index,stop_id,district_id,name,address,latitude,longitude,neighborhood,district
466,471,900072152,11006006,Daimlerstr./Industriegebiet (Berlin),"Daimlerstr./Industriegebiet, 12277 Berlin, Germany",52.423858,13.380399,Lankwitz,Steglitz-Zehlendorf
467,472,900029152,11005005,Dallgower Str. (Berlin),"Dallgower Str., 13583 Berlin, Germany",52.537653,13.186825,Falkenhagener Feld,Spandau
468,473,900183510,11009009,Dämeritzstr. (Berlin),"Dämeritzstr., 12589 Berlin, Germany",52.425899,13.726834,Friedrichshagen,Treptow-Köpenick
469,474,900191515,11008008,Dammweg/Bergaustr. (Berlin),"Dammweg/Bergaustr., 12435 Berlin, Germany",52.476086,13.4759,Neukölln,Neukölln
470,475,900077102,11009009,Dammweg/Sonnenallee (Berlin),"Dammweg 251, 12057 Berlin, Germany",52.470279,13.464915,Baumschulenweg,Treptow-Köpenick
471,476,900195503,11009009,Dankmarsteig (Berlin),"Dankmarsteig 47, 12524 Berlin, Germany",52.41246,13.528712,Altglienicke,Treptow-Köpenick
472,477,900070202,11007007,Dardanellenweg (Berlin),"Dardanellenweg 59, 12109 Berlin, Germany",52.444848,13.410773,Mariendorf,Tempelhof-Schöneberg
473,478,900066204,11006006,Darser Str. (Berlin),"Goerzallee 251, 14167 Berlin, Germany",52.416919,13.283495,Zehlendorf,Steglitz-Zehlendorf
474,479,900140020,11003003,Darßer Str./Piesporter Str. (Berlin),"Darßer Str./Piesporter Str., 13088 Berlin, Germany",52.566814,13.478309,Stadtrandsiedlung Malchow,Pankow
475,480,900150022,11011011,Darßer Str./Ribnitzer Str. (Berlin),"Darßer Str./Ribnitzer Str., 13051 Berlin, Germany",52.565007,13.493438,Alt-Hohenschönhausen,Lichtenberg
476,481,900144501,11003003,Darßer Str./Roelckestr. (Berlin),"Darßer Str./Roelckestr., 13088 Berlin, Germany",52.566598,13.464097,Stadtrandsiedlung Malchow,Pankow
477,482,900034160,11005005,Daumstr./Rhenaniastr. (Berlin),"Daumstr./Rhenaniastr., 13599 Berlin, Germany",52.554813,13.225757,Hakenfelde,Spandau
478,483,900045152,11007007,Deidesheimer Str. (Berlin),"Deidesheimer Str. 25, 14197 Berlin, Germany",52.474315,13.320378,Friedenau,Tempelhof-Schöneberg
479,484,900048161,11004004,Delbrückstr. (Berlin),"Hubertusallee 62, 14193 Berlin, Germany",52.484176,13.282794,Grunewald,Charlottenburg-Wilmersdorf
480,485,900081252,11008008,Delmer Steig (Berlin),"Marienfelder Chaussee 32A, 12349 Berlin, Germany",52.41958,13.422324,Britz,Neukölln
481,486,900007154,11001001,Demminer Str. (Berlin),"Demminer Str. 15, 13355 Berlin, Germany",52.542615,13.399429,Gesundbrunnen,Mitte
482,487,900057107,11007007,Dennewitzplatz (Berlin),"Dennewitzplatz, 10783 Berlin, Germany",52.495907,13.366223,Schöneberg,Tempelhof-Schöneberg
483,488,900153502,11011011,Dessauer Str. (Berlin),"Dessauer Str., 13057 Berlin, Germany",52.568854,13.549899,Falkenberg,Lichtenberg
484,489,900044104,11004004,Detmolder Str./Blissestr. (Berlin),"Detmolder Str./Blissestr., 10713 Berlin, Germany",52.479115,13.320324,Wilmersdorf,Charlottenburg-Wilmersdorf
485,490,900100509,11001001,Deutsches Theater (Berlin),"Deutsches Theater, 10117 Berlin, Germany",52.52318,13.383257,Tiergarten,Mitte
486,491,900175502,11010010,Deutschhofer Allee (Berlin),"Deutschhofer Allee, 12621 Berlin, Germany",52.479816,13.569154,Kaulsdorf,Marzahn-Hellersdorf
487,492,900091251,11012012,Diakoniezentrum Heiligensee (Berlin),"Ruppiner Ch 179A, 13503 Berlin, Germany",52.611328,13.251943,Heiligensee,Reinickendorf
488,493,900094153,11012012,Dianastr. (Berlin),"Dianastr., 13469 Berlin, Germany",52.603804,13.310301,Lübars,Reinickendorf
489,494,900070154,11007007,Didostr. (Berlin),"Didostr., 12109 Berlin, Germany",52.447086,13.398548,Mariendorf,Tempelhof-Schöneberg
490,495,900096203,11012012,Dietrichinger Weg (Berlin),"Dietrichinger Weg, 13435 Berlin, Germany",52.601647,13.330257,Märkisches Viertel,Reinickendorf
491,496,900131521,11003003,Dietzgenstr./Mittelstr. (Berlin),"Dietzgenstr./Mittelstr., 13158 Berlin, Germany",52.591202,13.402242,Blankenburg,Pankow
492,497,900051281,11004004,Dillenburger Str. (Berlin),"Dillenburger Str., 14199 Berlin, Germany",52.468688,13.307083,Schmargendorf,Charlottenburg-Wilmersdorf
493,498,900067257,11006006,Dillgesstr. (Berlin),"Dillgesstr., 12247 Berlin, Germany",52.434259,13.342248,Lankwitz,Steglitz-Zehlendorf
494,499,900070181,11007007,Dirschelweg (Berlin),"Dardanellenweg 2, 12109 Berlin, Germany",52.444929,13.400157,Mariendorf,Tempelhof-Schöneberg
495,500,900037109,11005005,Döberitzer Weg (Berlin),"Nennhauser Damm 123, 13591 Berlin, Germany",52.528637,13.132943,Falkenhagener Feld,Spandau
496,501,900071151,11006006,Döhlauer Pfad (Berlin),"Döhlauer Pfad, 12247 Berlin, Germany",52.436578,13.362564,Lankwitz,Steglitz-Zehlendorf
497,502,900171535,11010010,Dohlengrund (Berlin),"Köpenicker Str. 88, 12683 Berlin, Germany",52.498244,13.563347,Biesdorf,Marzahn-Hellersdorf
